,Comida,Comida Cap,Comida May,Calorias,Categoria,Hidratos de C,Grasas,Proteinas,Colesterol,Fibra,Catalán
208,codorniz,Codorniz,CODORNIZ,233,Productos avicolas,0,"14,04",25,86,0,guatlla
209,azafrán,Azafrán,AZAFRÁN,350,Hierbas y especias,"61,5","5,9","11,4",0,"3,9",safrà
210,salchichas de pavo,Salchichas de pavo,SALCHICHAS DE PAVO,156,Carnes,"14,7","7,8","6,9",0,0,salsitxes de gall dindi
211,zumo de piña,Zumo de piña,ZUMO DE PIÑA,46,Frutas,"10,7","0,1","0,4",0,"0,1",suc de pinya
212,tomillo,Tomillo,TOMILLO,336,Hierbas y especias,"57,1","7,4","9,1",0,"18,6",farigola
213,sardina,Sardina,SARDINA,140,"Pescado, moluscos y marisco",0,"7,5","18,1",100,0,sardina
214,chukrut,Chukrut,CHUKRUT,19,Vegetales,"4,28","0,14","0,91",0,"2,5",xucrut
215,refresco de uva,Refresco de uva,REFRESCO DE UVA,46,Bebidas,"11,33",0,0,0,0,refresc de raïm
216,rabo de toro,Rabo de toro,RABO DE TORO,200,Sopas,0,14,"18,6",70,0,cua de bou
217,hamburguesa de pollo,Hamburguesa de pollo,HAMBURGUESA DE POLLO,148,Productos avicolas,"4,3","7,5",16,0,0,hamburguesa de pollastre
218,zumo de lima,Zumo de lima,ZUMO DE LIMA,15,Frutas,"3,2","0,125","0,3",0,"0,1",suc de llima
219,cebollino,Cebollino,CEBOLLINO,25,Vegetales,"1,9","0,525",3,0,"2,3",cibulet
220,kellogs,Kellogs,KELLOGS,397,Cereales y derivados,88,"1,6","5,7",0,"1,5",kellogs
221,hinojo,Hinojo,HINOJO,14,Hierbas y especias,"2,3",0,"1,1",0,"3,3",fonoll
222,tortitas de patata,Tortitas de patata,TORTITAS DE PATATA,425,Vegetales,"67,6","13,6","5,7",0,"4,8",tortitas de patata
223,limas,Limas,LIMAS,8,Frutas,1,"0,2","0,6",0,"2,8",llimes
224,nueces pecanas,Nueces pecanas,NUECES PECANAS,736,Frutos secos,"5,2","72,1","10,1",0,"1,27",nous pecanes
225,riñones,Riñones,RIÑONES,107,Carnes,0,"4,32","16,8",375,0,ronyons
226,chalotes,Chalotes,CHALOTES,72,Vegetales,"16,8","0,1","2,5",0,0,escalunyes
227,batido,Batido,BATIDO,102,Productos lacteos,"21,31","1,64","1,75",5,"1,6",batut
228,gruyere,Gruyere,GRUYERE,375,Productos lacteos,"0,36","31,3","23,42",120,0,gruyere
229,oregano,Oregano,OREGANO,418,Hierbas y especias,"68,92","10,3",11,0,"42,8",orenga
230,gazpacho,Gazpacho,GAZPACHO,34,Sopas,"1,6","2,8","0,6",0,"0,2",gaspatxo
231,costilla,Costilla,COSTILLA,279,Carnes,0,"23,6","17,1",77,0,costella
232,sopa de guisantes,Sopa de guisantes,SOPA DE GUISANTES,59,Sopas,"9,78","1,58","1,72",0,"0,5",sopa de pèsols
233,lentejas,Lentejas,LENTEJAS,333,Legumbres,"54,8","1,7",23,0,"11,2",llentia
234,higos,Higos,HIGOS,70,Frutas,16,0,"1,2",0,"2,5",figues
235,sopa de queso y brocoli,Sopa de queso y brocoli,SOPA DE QUESO Y BROCOLI,121,Sopas,"8,19","8,15","4,22",23,"0,8",sopa de formatge i bròquil
236,remolachas,Remolachas,REMOLACHAS,30,Vegetales,"5,6","0,2","1,2",0,"2,5",remolatxes
237,ruibarbo,Ruibarbo,RUIBARBO,92,Frutas,"23,46","0,09","0,44",0,"1,5",ruibarbre
238,paprika,Paprika,PAPRIKA,503,Hierbas y especias,52,"30,9","4,6",0,"2,7",paprika
239,estragón,Estragón,ESTRAGÓN,295,Hierbas y especias,"50,22","7,24","22,77",0,"7,4",estragó
240,carne de cerdo,Carne de cerdo,CARNE DE CERDO,271,Carnes,0,"17,04","27,34",90,0,carn de porc
241,piñones,Piñones,PIÑONES,683,Frutos secos,4,"62,61",14,0,"1,9",pinyons
242,rollo de pollo,Rollo de pollo,ROLLO DE POLLO,146,Productos avicolas,0,"6,2","22,2",62,0,rotllo de pollastre
243,carne strogonoff,Carne strogonoff,CARNE STROGONOFF,154,Carnes,"5,97","9,91","10,16",27,"0,5",carn strogonoff
244,extracto de vainilla,Extracto de vainilla,EXTRACTO DE VAINILLA,288,Hierbas y especias,"12,65","0,06","0,06",0,0,extracte de vainilla
245,semillas de mostaza,Semillas de mostaza,SEMILLAS DE MOSTAZA,133,Hierbas y especias,5,10,"5,9",0,"1,3",llavors de mostassa
246,sopa de cebolla,Sopa de cebolla,SOPA DE CEBOLLA,46,Sopas,"6,68","1,42","3,06",0,"0,7",sopa d'esquer
247,salsa de arándanos,Salsa de arándanos,SALSA DE ARÁNDANOS,242,Frutas,"58,7",0,"0,5",0,"1,1",salsa de nabius
248,berro,Berro,BERRO,12,Vegetales,"0,3","0,2","2,2",0,"2,6",créixens
249,chile en polvo,Chile en polvo,CHILE EN POLVO,314,Hierbas y especias,"54,66","16,76","12,26",0,"34,2",xili en pols
250,dulce de leche,Dulce de leche,DULCE DE LECHE,313,Dulces,"53,5","7,8","7,2",0,0,Dolç de llet
251,ciruelas,Ciruelas,CIRUELAS,54,Frutas,12,"0,2","0,75",0,"2,3",prunes
252,arenque,Arenque,ARENQUE,253,"Pescado, moluscos y marisco",0,"13,9",23,50,0,arengada
253,rúcula,Rúcula,RÚCULA,31,Vegetales,"3,65","0,66","2,58",0,"1,6",ruca
254,queso de untar,Queso de untar,QUESO DE UNTAR,371,Productos lacteos,"2,3","32,4","15,63","94,1",0,formatge d'untar
255,kielbasa,Kielbasa,KIELBASA,310,Carnes,"2,14","27,15","13,26",67,0,kielbasa
256,cáscara de naranja,Cáscara de naranja,CÁSCARA DE NARANJA,97,Frutas,25,"0,2","1,5",0,"10,6",pela de taronja
257,hojas de mostaza,Hojas de mostaza,HOJAS DE MOSTAZA,133,Hierbas y especias,5,10,"5,9",0,"1,3",fulles de mostassa
258,pollo de corral,Pollo de corral,POLLO DE CORRAL,121,Productos avicolas,"0,5","2,6","23,9",0,0,pollastre de corral
259,daiquiri,Daiquiri,DAIQUIRI,185,Bebidas Alcoholicas,"6,9","0,06","0,06",0,"0,1",daiquiri
260,rábanos,Rábanos,RÁBANOS,16,Vegetales,"2,6","0,3","0,6",0,"1,2",raves
261,pavo molido,Pavo molido,PAVO MOLIDO,235,Productos avicolas,0,"13,15","27,36",102,0,gall dindi mòlt
262,zumo de uva,Zumo de uva,ZUMO DE UVA,51,Frutas,12,0,"0,6",0,"0,15",suc de raïm
263,pechuga de pavo,Pechuga de pavo,PECHUGA DE PAVO,145,Productos avicolas,0,"2,64","29,9",69,0,pit de gall dindi
264,semillas de sésamo,Semillas de sésamo,SEMILLAS DE SÉSAMO,562,Hierbas y especias,10,50,19,0,11,llavors de sèsam
265,piña colada,Piña colada,PIÑA COLADA,173,Bebidas Alcoholicas,"22,29","1,91","0,44",0,"0,3",pinya colada
266,chile picante,Chile picante,CHILE PICANTE,32,Vegetales,"0,44","6,7","1,74",0,"3,7",Xile picant
267,sabor vainilla,Sabor vainilla,SABOR VAINILLA,288,Hierbas y especias,"12,65","0,06","0,06",0,0,sabor vainilla
268,copos de maiz,Copos de maiz,COPOS DE MAIZ,381,Cereales y derivados,86,"0,5","7,8",0,2,flocs de blat de moro
269,sopa minestrone,Sopa minestrone,SOPA MINESTRONE,99,Sopas,"9,25","5,36","3,82",4,"1,6",sopa minestrone
270,brocoli con queso,Brocoli con queso,BROCOLI CON QUESO,134,Sopas,"9,5","6,9","8,4",29,"0,5",bròquil amb formatge
271,semilla de amapola,Semilla de amapola,SEMILLA DE AMAPOLA,533,Hierbas y especias,"23,69","44,7","18,04",0,10,Llavor de rosella
272,zumo de zanahoria,Zumo de zanahoria,ZUMO DE ZANAHORIA,23,Vegetales,"4,75","0,15","0,63",0,"0,62",suc de pastanaga
273,nuez moscada,Nuez moscada,NUEZ MOSCADA,547,Hierbas y especias,"49,29","36,3","5,8",0,"20,8",nou moscada
274,gotas de miel,Gotas de miel,GOTAS DE MIEL,304,Frutas,"82,4",0,"0,3",0,"0,2",gotes de mel
275,aceite vegetal,Aceite vegetal,ACEITE VEGETAL,884,Grasas y aceites,0,100,0,0,0,oli vegetal
276,saboya,Saboya,SABOYA,27,Vegetales,"6,1","0,1",2,0,"3,1",savoia
277,queso de cerdo,Queso de cerdo,QUESO DE CERDO,157,Productos lacteos,0,"10,9","13,83",69,0,formatge de porc
278,salchichas de cerdo,Salchichas de cerdo,SALCHICHAS DE CERDO,304,Carnes,0,"26,53","15,09",72,0,salsitxes de porc
279,noodles con carne,Noodles con carne,NOODLES CON CARNE,90,Sopas,14,"0,8","5,4",0,0,noodles amb carn
280,pollo con champiñones,Pollo con champiñones,POLLO CON CHAMPIÑONES,278,Sopas,12,"9,8","31,5",69,0,pollastre amb xampinyons
281,crema de champiñones,Crema de champiñones,CREMA DE CHAMPIÑONES,55,Sopas,9,"0,9","1,5",0,"0,5",crema de xampinyons
282,salchichas bratwurst,Salchichas bratwurst,SALCHICHAS BRATWURST,288,Carnes,"1,3",26,"12,7",65,"0,1",salsitxes bratwurst
283,coles,Coles,COLES,36,Vegetales,"2,54","0,9","4,3",0,"4,2",cols
284,cúrcuma,Cúrcuma,CÚRCUMA,354,Hierbas y especias,"64,93","9,88","7,83",0,"21,1",cúrcuma
285,judías de lima,Judías de lima,JUDÍAS DE LIMA,195,Legumbres,"32,09","2,81","10,47",0,8,jueves de llima
286,molleja,Molleja,MOLLEJA,132,Productos avicolas,0,"7,8","15,3",260,0,pedrer
287,jamon de pavo,Jamon de pavo,JAMON DE PAVO,114,Productos avicolas,"0,4",3,21,50,0,pernil de gall dindi
288,granadas,Granadas,GRANADAS,63,Frutas,"13,7","0,3",1,0,"3,5",granades
289,mandarinas,Mandarinas,MANDARINAS,40,Frutas,9,0,"0,8",0,"1,9",mandarines
290,sopa de fideos con carne,Sopa de fideos con carne,SOPA DE FIDEOS CON CARNE,19,Sopas,"3,05","0,35","0,9",3,"0,2",sopa de fideus
291,hojas de nabo,Hojas de nabo,HOJAS DE NABO,19,Vegetales,"3,23","0,27","2,17",0,"2,2",fulles de nap
292,cocktail de frutas,Cocktail de frutas,COCKTAIL DE FRUTAS,64,Frutas,"15,5",0,"0,35",0,"0,8",còctel de fruites
293,shiitake,Shiitake,SHIITAKE,34,Vegetales,7,"0,5","2,2",0,"2,5",shiitake
294,semillas de chia,Semillas de chia,SEMILLAS DE CHIA,463,Frutos secos,"2,6","33,9",22,0,"2,6",llavors de chia
295,pollo y cerdo,Pollo y cerdo,POLLO Y CERDO,392,Productos avicolas,"0,5",20,"51,24",90,0,pollastre i porc
296,fabada,Fabada,FABADA,162,Legumbres,"14,94","8,84","6,37",7,"3,2",fabada
297,sandwich de helado con cookies,Sandwich de helado con cookies,SANDWICH DE HELADO CON COOKIES,363,Productos lacteos,"44,3","18,1",5,0,"1,2",sandvitx de gelat
298,empanado,Empanado,EMPANADO,330,Hierbas y especias,"48,3","12,22","6,69",7,0,arrebossat
299,nabos,Nabos,NABOS,19,Vegetales,"3,2","0,2","0,9",0,2,naps
300,melones,Melones,MELONES,27,Frutas,6,0,"0,6",0,1,melons
301,nectarinas,Nectarinas,NECTARINAS,43,Frutas,9,"0,1","1,4",0,"2,2",nectarines
302,cheshire,Cheshire,CHESHIRE,387,Productos lacteos,"4,78","30,6","23,37",103,0,cheshire
303,puerros,Puerros,PUERROS,24,Vegetales,"3,7","0,3","1,6",0,"2,8",porros
304,crema de pollo,Crema de pollo,CREMA DE POLLO,90,Sopas,13,"3,2",2,0,"0,2",crema de pollastre
305,alcaparras,Alcaparras,ALCAPARRAS,26,Vegetales,"2,1","0,86","2,36",0,"1,5",tàperes
306,nesquik,Nesquik,NESQUIK,383,Dulces,"79,2","3,6","4,8",0,"7,2",nesquik
307,colacao,ColaCao,COLACAO,376,Dulces,78,"2,4","6,8",0,"7,8",colacao
308,chocolate en polvo,Chocolate en polvo,CHOCOLATE EN POLVO,400,Dulces,"71,4","7,6","6,9",0,"9,2",xocolata en pols
309,raiz de jengibre,Raiz de jengibre,RAIZ DE JENGIBRE,52,Vegetales,"9,5","0,7","1,7",0,0,arrel de gingebre
310,faisán,Faisán,FAISÁN,312,Productos avicolas,0,"15,3","40,97",113,0,faisà
311,caquis,Caquis,CAQUIS,70,Frutas,"18,59","0,19","0,58",0,"3,6",caquis
312,melocotón y mango,Melocotón y mango,MELOCOTÓN Y MANGO,49,Bebidas,"11,2","0,1","0,6",0,"1,85",préssec i poma
313,wakame,Wakame,WAKAME,19,Vegetales,4,"0,3","2,1",0,"3,7",wakame
314,pastinacas,Pastinacas,PASTINACAS,355,Vegetales,73,"1,6",11,0,0,escurçanes
315,margarina,Margarina,MARGARINA,718,Grasas y aceites,"0,9",80,"0,9",0,0,margarina
316,radicchio,Radicchio,RADICCHIO,23,Vegetales,"4,48","0,25","1,43",0,"0,9",radicchio
317,harina,Harina,HARINA,333,Cereales y derivados,"71,5",0,10,0,"3,5",farina
318,durian,Durian,DURIAN,147,Frutas,"27,9","5,33","1,47",0,"3,8",durien
319,hojas de uva,Hojas de uva,HOJAS DE UVA,93,Vegetales,"17,3","2,1","5,6",0,11,fulles de raïm
320,zumo de tomate,Zumo de tomate,ZUMO DE TOMATE,14,Vegetales,"2,6","0,5",1,0,"0,4",suc de tomàquet
321,sopa de pollo con verduras,Sopa de pollo con verduras,SOPA DE POLLO CON VERDURAS,31,Sopas,"3,56","1,18","1,5",4,"0,4",sopa de pollastre
322,sopa de tomate y nata,Sopa de tomate y nata,SOPA DE TOMATE Y NATA,42,Sopas,"7,35","1,2","1,25",2,"0,4",sopa de tomàquet
323,alcachofas,Alcachofas,ALCACHOFAS,18,Vegetales,"1,2","0,16","2,9",0,"9,4",carxofes
324,caldo de carne,Caldo de carne,CALDO DE CARNE,3,Sopas,"0,33","0,08","0,35",0,0,brou de carn
325,sopa de brocoli y crema,Sopa de brocoli y crema,SOPA DE BROCOLI Y CREMA,105,Sopas,"7,84","7,12","3,03",11,"1,1",sopa de bròquil i crema
326,pastel de calabaza,Pastel de calabaza,PASTEL DE CALABAZA,210,Hierbas y especias,"27,3","9,5","3,9",20,"2,7",pastís de carbassa
327,cardamomo,Cardamomo,CARDAMOMO,311,Hierbas y especias,"68,47","6,7","10,76",0,28,cardamom
328,albóndigas de pollo,Albóndigas de pollo,ALBÓNDIGAS DE POLLO,161,Productos avicolas,"6,94","5,62","19,39",82,"0,5",mandonguilles de pollastre
329,sopa de queso y crema,Sopa de queso y crema,SOPA DE QUESO Y CREMA,121,Sopas,"8,19","8,15","4,22",23,"0,8",sopa de formatge i crema
330,sofrito,Sofrito,SOFRITO,210,Sopas,"4,71","20,97","1,11",0,"1,4",sofregit
331,nueces de macadamia,Nueces de macadamia,NUECES DE MACADAMIA,718,Frutos secos,"13,82","75,77","7,91",0,"8,6",nous de macadàmia
332,zumo de granada,Zumo de granada,ZUMO DE GRANADA,71,Frutas,"15,7","0,5","0,6",0,"2,4",suc de magrana
333,salchicha de ternera,Salchicha de ternera,SALCHICHA DE TERNERA,325,Carnes,"3,99","29,08","11,04",54,0,salsitxa de vedella
334,salchicha polaca,Salchicha polaca,SALCHICHA POLACA,310,Carnes,"2,14","27,15","13,26",67,0,salsitxa polonesa
335,mantequilla de anacardo,Mantequilla de anacardo,MANTEQUILLA DE ANACARDO,653,Frutos secos,18,54,24,0,"2,7",mantega d'anacard
336,sopa de almejas New England,Sopa de almejas new england,SOPA DE ALMEJAS NEW ENGLAND,67,Sopas,"7,79","2,39","3,62",7,"0,8",sopa de cloïsses
337,macarrones,Macarrones,MACARRONES,203,Cereales y derivados,"21,46","9,4","7,94",17,"1,1",macarrons
338,macarrones con queso,Macarrones con queso,MACARRONES CON QUESO,203,Cereales y derivados,"21,46","9,4","7,94",17,"1,1",macarrons amb formatge
339,albaricoques,Albaricoques,ALBARICOQUES,48,Frutas,"11,12","0,39","1,4",0,2,albercocs
340,endibias,Endibias,ENDIBIAS,9,Vegetales,"0,7","0,2","1,1",0,"1,9",endívies
341,pudín de maíz,Pudín de maíz,PUDÍN DE MAÍZ,227,Cereales y derivados,"43,8","1,9","6,4",0,0,púding de blat de moro
342,corazones de palma,Corazones de palma,CORAZONES DE PALMA,"43,2",Vegetales,8,0,0,0,0,cors de palma
343,nopales,Nopales,NOPALES,16,Vegetales,"3,33","0,09","1,32",0,"2,2",nopales
344,mortadela,Mortadela,MORTADELA,295,Carnes,3,"25,39",14,72,0,mortadel·la
345,soja,Soja,SOJA,351,Legumbres,"9,7034","18,625","35,9",0,"15,7",soja
346,solomillo,Solomillo,SOLOMILLO,131,Carnes,0,"5,1",21,72,0,filet
347,aderezo ruso,Aderezo ruso,ADEREZO RUSO,141,Salsas,"27,6",4,"0,5",0,"0,3",guarniment rus
348,polvo de cebolla,Polvo de cebolla,POLVO DE CEBOLLA,342,Hierbas y especias,79,1,10,0,15,pols de ceba
349,espirulina,Espirulina,ESPIRULINA,290,Vegetales,"23,9","7,72","57,47",0,"3,6",espirulina
350,castañas,Castañas,CASTAÑAS,245,Frutos secos,"52,96","2,2","3,17",0,"5,1",castanyes
351,refresco de naranja,Refresco de naranja,REFRESCO DE NARANJA,39,Bebidas,"9,365",0,"0,1",0,0,refresc de taronja
352,escarola,Escarola,ESCAROLA,12,Vegetales,1,"0,2","1,6",0,"2,6",escarola
353,sopa de carne con vegetales,Sopa de carne con vegetales,SOPA DE CARNE CON VEGETALES,83,Sopas,"8,98","3,07","4,83",5,"0,7",sopa de carn amb vegetals
354,roquefort,Roquefort,ROQUEFORT,354,Productos lacteos,0,"32,8","15,4",100,0,rocafort
355,carne roja,Carne roja,CARNE ROJA,110,Carnes,0,"2,59","20,2",79,0,carn vermella
356,tequila sunrise,Tequila sunrise,TEQUILA SUNRISE,110,Bebidas Alcoholicas,"8,59","0,1","0,34",0,0,sortida del sol de tequila
357,whiskey amargo,Whiskey amargo,WHISKEY AMARGO,245,Bebidas Alcoholicas,"0,11",0,0,0,0,whisky amarg
358,carne con verduras,Carne con verduras,CARNE CON VERDURAS,128,Sopas,"9,6",2,"18,1",24,"1,2",carn amb verdures
359,productos lácteos,Productos lácteos,PRODUCTOS LÁCTEOS,73,Productos lacteos,"5,4","3,9","4,3",0,0,productes lactis
360,mix de chocolates,Mix de chocolates,MIX DE CHOCOLATES,505,Dulces,"59,6","34,2","3,9",0,"5,5",mix de xocolates
361,salsa de miel y mostaza,Salsa de miel y mostaza,SALSA DE MIEL Y MOSTAZA,133,Salsas,5,10,"5,9",0,"1,3",salsa de mel i mostassa
362,piel de limón,Piel de limón,PIEL DE LIMÓN,47,Frutas,16,"0,3","1,5",0,"10,6",pell de llimona
363,sopa de pollo y maíz,Sopa de pollo y maíz,SOPA DE POLLO Y MAÍZ,392,Sopas,"85,6","0,96","8,4",0,"85,5",sopa de pollastre i blat de moro
364,guisantes con zanahoria,Guisantes con zanahoria,GUISANTES CON ZANAHORIA,63,Vegetales,10,"0,4","2,6",0,"4,1",Pèsols amb pastanaga
365,salvado de avena,Salvado de avena,SALVADO DE AVENA,360,Cereales y derivados,"44,1","8,7","17,6","1,1","16,5",salvat de civada
366,frutos secos,Frutos secos,FRUTOS SECOS,594,Frutos secos,"25,35","51,45","17,3",0,9,fruita seca
367,mandioca,Mandioca,MANDIOCA,160,Vegetales,"38,06","0,28","1,36",0,"1,8",mandioca
368,crema,Crema,CREMA,159,Productos lacteos,"22,3","5,36","4,9",120,"0,3",crema
369,miel,Miel,MIEL,315,Dulces,"76,8",0,"0,5",0,0,mel
370,naranja,Naranja,NARANJA,76,Frutas,"17,2",0,"1,6",0,4,taronja
371,aceite,Aceite,ACEITE,884,Grasas y aceites,0,100,0,0,0,oli
372,hígado,Hígado,HÍGADO,137,Carnes,"1,2","4,7","22,12",492,0,fetge
373,manzana,Manzana,MANZANA,50,Frutas,12,0,"0,3",0,2,poma
374,pato,Pato,PATO,138,Productos avicolas,0,"6,5","19,7",110,0,ànec
375,emú,Emú,EMÚ,102,Carnes,0,"0,74","22,25",71,0,emú
376,manteca de cerdo,Manteca de cerdo,MANTECA DE CERDO,902,Grasas y aceites,0,100,0,95,0,mantega de porc
377,aderezo,Aderezo,ADEREZO,449,Salsas,"2,5","50,1",0,0,0,guarniment
378,pechuga,Pechuga,PECHUGA,105,Productos avicolas,0,"1,2","23,1",58,0,pit
379,algas,Algas,ALGAS,38,Vegetales,"8,43","0,26","2,38",0,"0,8",algues
380,vainas,Vainas,VAINAS,43,Vegetales,"7,55","0,2","2,8",0,"2,6",beines
381,ostra,Ostra,OSTRA,64,Productos avicolas,"2,76","2,21","8,145","53,5",0,ostra
382,setas,Setas,SETAS,26,Vegetales,4,"0,3","1,8",0,0,bolets
383,tortilla de patatas,Tortilla de patatas,TORTILLA DE PATATAS,126,Productos avicolas,"9,26","6,93","6,63",179,"0,8",truita de patates
384,tortilla,Tortilla,TORTILLA,170,Productos avícolas,"0,4","12,28","14,6",350,0,truita
385,paella,Paella,PAELLA,173,Cereales y derivados,"17,44","5,74","12,37","44,81","0,5",paella
386,torrija,Torrija,TORRIJA,236,Cereales y derivados,"18,31",16,"5,06",88,1,llesque amb ou
387,torrijas,Torrijas,TORRIJAS,236,Cereales y derivados,"18,31",16,"5,06",88,1,llesques amb ou
388,cocido,Cocido,COCIDO,202,Carnes,"7,69","12,07","15,16",47,"1,6",cuit
389,sushi,Sushi,SUSHI,143,"Pescado, moluscos y marisco","29,9","0,42","4,3",3,"0,8",sushi